Sido,Sigun,id,moon,hong,ahn,yoo,shim,etc,1st,1st_C,2nd,2nd_C,gap,final
경기,화성시,41590,0.46,0.179,0.221,0.068,0.067,0.004,0.46,Moon,0.221,Ahn,0.239,0.46
경기,광주시,41610,0.404,0.227,0.236,0.064,0.065,0.005,0.404,Moon,0.236,Ahn,0.168,0.404
경기,양주시,41630,0.383,0.246,0.236,0.063,0.066,0.006,0.383,Moon,0.246,Hong,0.137,0.383
경기,포천시,41650,0.307,0.311,0.25,0.064,0.061,0.007,0.311,Hong,0.307,Moon,0.004,-0.311
경기,여주시,41670,0.313,0.33,0.223,0.06,0.067,0.007,0.33,Hong,0.313,Moon,0.017,-0.33
경기,연천군,41800,0.295,0.336,0.239,0.067,0.056,0.008,0.336,Hong,0.295,Moon,0.041,-0.336
경기,가평군,41820,0.282,0.359,0.236,0.058,0.054,0.011,0.359,Hong,0.282,Moon,0.078,-0.359
경기,양평군,41830,0.302,0.351,0.221,0.06,0.059,0.007,0.351,Hong,0.302,Moon,0.049,-0.351
강원,춘천시,42110,0.382,0.248,0.221,0.071,0.073,0.005,0.382,Moon,0.248,Hong,0.134,0.382
강원,원주시,42130,0.381,0.25,0.225,0.068,0.071,0.006,0.381,Moon,0.25,Hong,0.131,0.381
강원,강릉시,42150,0.316,0.337,0.204,0.074,0.064,0.006,0.337,Hong,0.316,Moon,0.022,-0.337
강원,동해시,42170,0.311,0.344,0.205,0.071,0.062,0.007,0.344,Hong,0.311,Moon,0.033,-0.344
강원,태백시,42190,0.342,0.359,0.178,0.053,0.062,0.006,0.359,Hong,0.342,Moon,0.017,-0.359
강원,속초시,42210,0.322,0.297,0.236,0.073,0.067,0.005,0.322,Moon,0.297,Hong,0.025,0.322
강원,삼척시,42230,0.308,0.365,0.187,0.066,0.066,0.008,0.365,Hong,0.308,Moon,0.057,-0.365
강원,홍천군,42720,0.319,0.312,0.231,0.066,0.062,0.009,0.319,Moon,0.312,Hong,0.007,0.319
